time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.3477023914108435e-07,1.2228914252723796e-06,10.006950345224556,0.0007465025589423746,0.00012444626560892402,0.0,-1.2409011653865204e-05,9.51600689595294e-05,0.2316591765541855,0.029883454837317865,0.005929623510776371,0.0,476.17233011893217,476.62560274320094,476.1578279270309,478.43801312114084
0.12000000000000001,-4.772371240491833e-06,2.9555581801282675e-05,10.024128574297979,0.0025902234503227817,0.00028718935226201836,0.0,-0.00016994159215149614,0.0010372746242522902,0.3409212430100343,0.032367415846447645,-0.004656451720420786,0.0,440.66160746740485,439.7857594353041,439.47490519150017,439.6810389031806
0.18,-2.0285298035279734e-05,0.00015861297541734792,10.049594567578453,0.004189557955437628,6.282825438181569,0.0,-0.0003000877793381091,0.003466648178360578,0.5078846195631472,0.011660637048948114,-0.02732015367941571,0.0,458.4077248116516,456.60361217089024,458.919672996144,457.27351554145184
0.23999999999999996,-2.4873573604723382e-05,0.0004537182045755582,10.08259332041947,0.004769676142201362,6.281147227775719,0.0,0.0003123948610060683,0.006434117371966227,0.5920330297570412,0.005353068437517991,-0.029302758878393714,0.0,432.4537215183067,432.28648508707045,432.1516240686846,431.61958536895025
0.3,3.990614829199211e-05,0.0009336813403284042,10.119921902651646,0.00492287979650019,6.279346800773123,0.0,0.002017827651270827,0.009587947285595588,0.6522196452997133,-0.003734573918544084,-0.031454147622809514,0.0,425.81377931415017,425.6293924128332,423.5843063134682,422.8021514471677
0.36000000000000004,0.00025200568200333523,0.0016155083711665008,10.163135709696881,0.0050663501184287085,6.277473386814748,0.0,0.005253609917077726,0.013137211393582204,0.7881553308307437,0.01245830410209858,-0.03076642916525674,0.0,448.9276594623516,448.9831217823466,447.6263273827413,448.9419191449265
0.4200000000000001,0.0007146493081715364,0.0025318844754820703,10.217221604451685,0.0063886549355105515,6.276067233930679,0.0,0.01035946012079629,0.01753842906615006,1.0145324760949537,0.03641469805866436,-0.011780267747433463,0.0,475.36485766178754,476.81726619421966,474.94072082657163,476.77432264825933
0.48000000000000015,0.0014881316572938283,0.0037264037478231,10.281384348301003,0.008335235634321592,6.275281023729168,0.0,0.01549960115985579,0.022493366603893932,1.1241217695516288,0.023002250281646392,-0.015890702296518323,0.0,441.27368015518,440.93439175333145,441.4327738138145,440.3251239257402
0.5400000000000001,0.002596312024292015,0.005266425166251022,10.35327611619119,0.010148869636695146,6.274672003339582,0.0,0.02152161398538258,0.029016752744178833,1.2721149267891019,0.04174704758484878,-0.000614361913616448,0.0,453.04723958635566,454.2738267746987,451.8949323020253,453.4035085254752
0.6000000000000002,0.004078001030864809,0.0072449507586076255,10.434281446960465,0.013039730043248987,6.274524114829742,0.0,0.027876315671373084,0.03723220972828743,1.4278774731633674,0.05866116216669268,-0.006449742524611329,0.0,455.68600547976393,455.21939436065423,455.6150657947729,456.9665327776818
0.6600000000000003,0.005987259050535248,0.00985085262732701,10.529421390107691,0.016951184226575933,6.273666840093423,0.0,0.03583362817640186,0.050125821939228515,1.7430203141776217,0.07579778469341547,-0.03855007814896033,0.0,503.91639547867,501.5908535521173,501.6395944773329,502.8848485661866
0.7200000000000003,0.008359388221734527,0.013255746817596935,10.638662913553569,0.021700413955446862,6.271180226753028,0.0,0.04349843320665065,0.06387900467577984,1.8981063271560428,0.0851355132836816,-0.04796789825435975,0.0,457.97366900797493,457.2231426635523,456.0632352157773,456.813201781975
0.7800000000000004,0.011238731168394803,0.01757540727537752,10.756372501649965,0.027154143387123852,6.268237914715705,0.0,0.052785423832808764,0.08066653849392197,2.0253115366525174,0.10045297269909834,-0.05126990829775103,0.0,449.3312816418346,449.0620623839338,448.1976110168588,449.447459878186
0.8400000000000004,0.014787319220761824,0.0231105440828173,10.88481719670761,0.033200457117046334,6.264704477873877,0.0,0.0658855866309504,0.10455780722338902,2.2557233636020326,0.10140173390342361,-0.0819842077793286,0.0,482.36501992903646,480.03763540370977,479.62655284331316,479.7065574164511
0.9000000000000005,0.01921910535913046,0.030231939886842803,11.027170560559638,0.0398637202838934,6.259784411586953,0.0,0.08243022043793041,0.1335864101477975,2.488868397155362,0.12550442275050078,-0.08203489938721706,0.0,481.6186176894636,481.6098986778829,481.803937187763,483.6322568476541
0.9600000000000005,0.024747546533295778,0.03923587630975018,11.182800672187446,0.047142647787707936,6.254348908852879,0.0,0.10243839000599687,0.16740136854317852,2.698274915874458,0.11125471706455586,-0.11919282657583467,0.0,477.7606734692687,474.91217546637733,476.8669001165014,475.78930584119087
1.0200000000000005,0.031582299432217,0.050384314359921634,11.349838769287965,0.05426022958235244,6.2467332066416965,0.0,0.126196130266191,0.204970422569251,2.8691775089500253,0.13032644575320504,-0.150594439325582,0.0,467.484878447986,465.0169904558344,465.0402249226467,466.54343412003095
1.0800000000000005,0.040027755985495364,0.06395874123574338,11.527204664820815,0.0626461012174282,6.237783845811794,0.0,0.15631763244885738,0.24840191518783963,3.0424715297297764,0.15396590638237578,-0.14642730190703082,0.0,467.95358011866455,468.2581727183825,466.49191372175676,468.3508808138341
1.1400000000000006,0.050236672135608715,0.0799966864752615,11.709689927437834,0.07195808992103991,6.228803703084479,0.0,0.1847517998283569,0.28699899879550317,3.040273720589749,0.15755705028376304,-0.15709132889592634,0.0,414.16408806706187,413.2020494290334,412.61286447356053,412.9545670709023
